file,size
1075931629.txt,1.645
1076083097.txt,4.65
1076336623.txt,9.366
1076359809.txt,3.971
1077200902.txt,2.415
1077829152.txt,1.535
1078236401.txt,8.754
1079108576.txt,11.814
1079384474.txt,3.666
1080257046.txt,3.181
1080742144.txt,2.738
1083962092.txt,1.629
1083962601.txt,1.465
1084017554.txt,8.117
1084625760.txt,1.403
1086722406.txt,4.016
1086904814.txt,31.037
1087504782.txt,1.694
1087589697.txt,4.631
1087820257.txt,34.147
1088632271.txt,31.155
1088690856.txt,34.426
1089318616.txt,2.616
1090436791.txt,0.677
1090610951.txt,11.281
1091798809.txt,7.817
1092167224.txt,18.016
1092418712.txt,7.468
1092433030.txt,5.276
1092581797.txt,8.539
1093294138.txt,4.488
1093794363.txt,7.908
1094483447.txt,5.654
1094495798.txt,0.774
1094752345.txt,6.797
1096382684.txt,1.294
1096645745.txt,3.68
1097078296.txt,3.802
1097159316.txt,5.749
1097540855.txt,5.32
1097785771.txt,3.696
1098294574.txt,3.675
1098388401.txt,0.67
1098472400.txt,4.618
1101133749.txt,10.626
1101243716.txt,1.998
1101850440.txt,3.12
1101999700.txt,8.443
1102524151.txt,4.445
1102687002.txt,4.438
1102948164.txt,6.231
1102953345.txt,2.058
1102956436.txt,2.387
1102956446.txt,1.218
1102956796.txt,1.504
1102957001.txt,1.073
1102957016.txt,1.565
1103236623.txt,7.134
1103583356.txt,13.427
1103647149.txt,2.589
1103828684.txt,5.325
1104855751.txt,11.706
1104893567.txt,11.901
1104941753.txt,2.205
1104945887.txt,4.248
1105019698.txt,15.754
1105024270.txt,6.255
1105042411.txt,4.198
1105282939.txt,1.493
1105386027.txt,6.165
1105395606.txt,4.772
1105462633.txt,3.13
1105543270.txt,2.152
1105556495.txt,5.168
1105566936.txt,8.696
1105588673.txt,2.154
1105588681.txt,2.867
1105627987.txt,2.763
1105653626.txt,10.744
1105661016.txt,2.42
1105661725.txt,1.788
1105663624.txt,0.954
1105667593.txt,3.304
1105670738.txt,1.608
1105723247.txt,4.663
1105730627.txt,12.052
1105978592.txt,0.858
1106322460.txt,8.857
1106338806.txt,7.066
1106346062.txt,8.812
1106934832.txt,18.208
1106946949.txt,6.084
1107191864.txt,4.515
1107454306.txt,5.465
1107555812.txt,9.882
1107899057.txt,12.091
1108248246.txt,6.789
1108399027.txt,3.153
1108594561.txt,4.454
1109014030.txt,3.896
1109018144.txt,3.333
1109021312.txt,46.786
1109087609.txt,0.636
1109267110.txt,10.777
1109684442.txt,7.366
1110150877.txt,12.243
1110909006.txt,3.601
1111085657.txt,7.457
1111417712.txt,3.267
1112622624.txt,2.799
1112670527.txt,5.07
1113941558.txt,9.091
1114008578.txt,8.371
1114025310.txt,24.892
1114040791.txt,11.393
1114088225.txt,3.532
1114113870.txt,1.455
1114130226.txt,5.007
1114607213.txt,9.868
1114785020.txt,1.199
1115294935.txt,4.616
1115297153.txt,3.612
1115843111.txt,7.337
1115887684.txt,10.542
1116017259.txt,1.212
1116363805.txt,11.329
1116365074.txt,11.61
1116426671.txt,0.614
1116440198.txt,0.982
1116611126.txt,1.478
1116646247.txt,3.286
1116902771.txt,2.188
1117120511.txt,6.571
1117134760.txt,5.533
1117757977.txt,4.477
1118866416.txt,2.393
1118949061.txt,1.301
1119534778.txt,5.425
1119628345.txt,6.149
1119901360.txt,5.648
1119924849.txt,2.569
1119957715.txt,10.501
1119967865.txt,7.249
1120014836.txt,8.555
1120017435.txt,3.208
1120236419.txt,2.299
1120528403.txt,4.103
1120593115.txt,13.38
1120676865.txt,7.488
1121103374.txt,1.082
1121294040.txt,1.972
1121392136.txt,6.712
1121439991.txt,2.788
1121686753.txt,4.374
1121721126.txt,3.788
1121869083.txt,12.621
1121871795.txt,31.822
1121875880.txt,4.686
1121876302.txt,4.841
1121877545.txt,2.142
1121883804.txt,5.953
1121893120.txt,4.505
1121950297.txt,37.685
1121950401.txt,6.334
1121964854.txt,8.988
1121974981.txt,41.968
1121976478.txt,7.124
1122052662.txt,2.358
1122126027.txt,1.624
1122300990.txt,0.835
1122394173.txt,2.983
1122422429.txt,1.765
1122557838.txt,14.941
1122601784.txt,7.543
1122669035.txt,5.054
1123163394.txt,10.157
1123268256.txt,2.721
1123513957.txt,4.572
1123514677.txt,10.031
1123529413.txt,3.838
1123611283.txt,1.563
1123612499.txt,1.019
1123622471.txt,4.416
1123685358.txt,5.757
1123708417.txt,14.719
1123860080.txt,5.303
1123881502.txt,9.229
1124742148.txt,1.252
1124994521.txt,2.938
1125067952.txt,4.658
1125085162.txt,2.489
1127491287.txt,0.677
1127614205.txt,11.93
1128000000.txt,10.715
1132094873.txt,6.604
1133360497.txt,1.856
1133366680.txt,14.316
1133532909.txt,1.046
1134418588.txt,1.02
1134497252.txt,4.255
1134526470.txt,5.118
1134572247.txt,0.824
1134931991.txt,3.308
1135033853.txt,1.617
1135045957.txt,2.608
1135197791.txt,9.267
1136298918.txt,2.784
1136308095.txt,4.943
1136413942.txt,47.68
1136918726.txt,5.617
1137184681.txt,2.808
1137686657.txt,35.327
1138042050.txt,7.474
1138398400.txt,425.315
1138734209.txt,2.042
1138995069.txt,3.279
1139006752.txt,7.265
1139242164.txt,2.875
1139323214.txt,2.747
1139331621.txt,0.936
1139357516.txt,4.405
1139413326.txt,4.47
1139441665.txt,23.109
1139504822.txt,5.316
1139515011.txt,1.326
1139521913.txt,1.704
1139591144.txt,6.283
1139592077.txt,4.303
1139594390.txt,3.465
1139607804.txt,8.516
1139627770.txt,4.78
1139835663.txt,8.49
1139845689.txt,3.649
1139847614.txt,14.437
1139850906.txt,10.381
1139923663.txt,3.609
1139932579.txt,5.947
1139942831.txt,2.128
1140009927.txt,20.269
1140021977.txt,3.636
1140039406.txt,5.562
1140067691.txt,3.514
1140130198.txt,6.555
1140189328.txt,1.547
1140209561.txt,2.646
1140213644.txt,3.989
1140231162.txt,2.352
1140453339.txt,1.142
1140554230.txt,19.058
1140567354.txt,1.022
1140568004.txt,1.697
1140616435.txt,2.392
1140707670.txt,8.731
1140838402.txt,1.147
1141068509.txt,8.853
1141072471.txt,3.65
1141143688.txt,4.928
1141145428.txt,6.046
1141151539.txt,3.944
1141164645.txt,3.595
1141169545.txt,2.305
1141180962.txt,2.856
1141187005.txt,1.551
1141226255.txt,2.696
1141246541.txt,2.134
1141250377.txt,2.311
1141267802.txt,2.152
1141393414.txt,5.664
1141398437.txt,3.833
1141737742.txt,19.728
1141750932.txt,2.988
1141849134.txt,2.387
1141930111.txt,7.588
1142108839.txt,8.336
1142285374.txt,1.974
1142314357.txt,4.734
1142389768.txt,13.153
1142457385.txt,5.425
1142469228.txt,15.377
1143137864.txt,6.547
1143227779.txt,6.174
1143661010.txt,11.636
1143753480.txt,2.01
1143819006.txt,4.515
1144427398.txt,2.415
1145388731.txt,5.179
1146062963.txt,4.131
1146252894.txt,7.231
1146713460.txt,1.035
1147435800.txt,5.059
1147982305.txt,3.222
1148266730.txt,5.343
1148299124.txt,5.802
1148307524.txt,7.838
1148339153.txt,8.846
1148577381.txt,4.23
1148592899.txt,3.599
1150923423.txt,4.161
