No.,Object designation,Diameter,Impact date/time in UTC,IP,Close years
265,2022EF3,10,2088-03-06 06:15,0.0000528010982628439,2088
266,2008EV84,30,2041-03-07 15:56,0.48031852743314,2041
268,2016DA31,4,2031-09-04 20:12,0.0000642013353877761,2028
269,2021DR,10,2089-02-07 16:34,0.0000797003267713398,2058
270,2021XU5,5,2059-06-08 00:24,0.0000949036727721363,2040
271,2005WG57,70,2029-08-21 04:17,0.0558677741680771,2029
272,2005TM173,60,2052-11-16 01:43,0.0113319661410093,2022
274,2010GH7,8,2120-04-01 17:26,0.0000644039415212211,2099
276,2022FP2,7,2054-03-07 10:48,0.0000668002672010688,2054
278,2010CS19,9,2104-02-13 15:55,0.000098405825624877,2104
283,2012DJ54,7,2068-02-24 13:55,0.0000965064659332175,2068
284,2018FE4,40,2098-09-26 04:19,0.596267326879216,2085
288,2021RF12,9,2068-09-10 12:35,0.0000360010080282248,2055
291,2010UH,14,2115-07-14 11:26,0.0000373009064120258,2047
302,2007PR25,150,2118-08-19 23:14,0.0000643378364919052,2094
304,2019FA,6,2036-03-14 11:16,0.0000342008960634769,2036
305,2011FQ6,10,2075-03-23 23:31,0.0000309004387862308,2053
307,2009WR52,8,2060-11-22 13:00,0.0000598014591556034,2031
308,2015MN11,40,2081-06-26 12:41,0.0116596155724473,2081
314,2022XX,6,2096-12-13 23:22,0.000166002656042497,2090
316,2016GK2,10,2096-03-26 17:38,0.000047001316036849,2092
320,2007UD6,8,2067-10-18 22:37,0.0000625039064941559,2061
321,2020GO1,10,2109-04-02 20:56,0.0000536020583190394,2074
323,2015JJ,140,2119-11-07 05:57,1,2111
327,2023FH7,6,2073-04-01 00:35,0.0000884016973125884,2073
332,2017SA20,8,2072-04-22 15:49,0.0000649013499480789,2031
334,2013GA55,10,2114-04-06 00:58,0.0000443007132414832,2070
339,2016NK22,6,2111-07-14 06:02,0.000190005700171005,2089
344,2016RR1,10,2100-09-03 12:38,0.0000473014521545811,2079
345,2015BE511,7,2078-01-27 11:00,0.000068903741473162,2057
350,2021VB2,8,2072-11-08 23:14,0.0000462000462000462,2072
352,2022AP1,7,2076-01-03 04:12,0.0000444010301038984,2059
353,2013NH6,80,2060-06-29 19:34,0.0163339967288101,2060
359,2010TW54,11,2103-10-10 08:02,0.0000303002757325092,2074
360,2022PX1,120,2040-08-11 15:55,0.000450390964595849,2040
363,2021CZ7,8,2117-02-18 04:44,0.0000747049155834454,2040
364,2018BL11,8,2107-01-22 18:55,0.0000536020583190394,2107
366,2022MK1,60,2099-07-19 16:41,0.0533180642397214,2099
369,2022UU14,40,2077-06-21 15:04,0.0000483072458964336,2060
371,2020BB5,4,2107-01-23 02:03,0.000307031010132023,2092
379,2021UX1,5,2082-10-25 04:05,0.000172028212626871,2034
380,2022BY39,4,2107-01-22 17:22,0.000511247443762781,2107
381,2022HO2,28,2065-05-01 00:29,0.370431539178355,2065
385,2020WD,8,2085-09-30 10:19,0.0000480007680122882,2055
391,2023ES1,10,2106-05-07 21:57,0.0000342008960634769,2047
392,2020VO1,9,2085-11-07 20:44,0.0000328008659428609,2068
393,2022JV1,11,2116-05-11 17:45,0.0000304006809752538,2074
397,2020AO1,60,2049-01-13 17:15,0.0233898387214554,2049
